PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,,
DC System Size (kW):,100,,,,,,,,,,Wh per day,Wh per month,Wh per year
Module Type:,Standard,,,,,,,,,,"303,058","10,871,239","157,361,651"
Array Type:,Fixed (open rack),,,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,kWh equivalent,303.058,10871.239,157361.651
Array Azimuth (deg):,180,,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.16,,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,5,8,293,91,10,2.6,238.755,14.433,20641.143,19680.521,,,
1,5,9,681,106,14,2.6,554.197,26.811,46312.813,44570.949,,,
1,5,10,747,99,16,2.6,677.943,32.629,55717.438,53628.043,,,
1,5,11,843,93,18,1.5,791.837,40.851,62683.883,60315.855,,,
1,5,12,830,108,20,2.1,800.22,41.34,63202.52,60813.027,,,
1,5,13,729,149,19,4.1,724.86,34.731,59022.145,56802.824,,,
1,5,14,418,166,18,2.6,460.134,29.791,38127.836,36661.664,,,
1,5,15,448,134,17,2.6,366.02,25.77,30098.895,28878.963,,,
1,5,16,234,24,16,2.1,101.56,18.087,7809.111,7147.142,,,
1,5,17,0,0,14,1.8,0,14,0,0,,,
1,5,18,0,0,13,1.5,0,13,0,0,,,
1,5,19,0,0,11.9,1.7,0,11.9,0,0,,,
1,5,20,0,0,11,1.9,0,11,0,0,,,
1,5,21,0,0,9,2.1,0,9,0,0,,,
1,5,22,0,0,8,2.2,0,8,0,0,,,
1,5,23,0,0,9,2.4,0,9,0,0,,,
1,6,0,0,0,9,2.6,0,9,0,0,,,
1,6,1,0,0,9,2.6,0,9,0,0,,,
1,6,2,0,0,9,2.6,0,9,0,0,,,
1,6,3,0,0,8,2.6,0,8,0,0,,,
1,6,4,0,0,8,2.6,0,8,0,0,,,
1,6,5,0,0,8,2.1,0,8,0,0,,,
1,6,6,0,0,8,2,0,8,0,0,,,
1,6,7,224,15,9,1.8,84.986,9.67,6618.274,5980.917,,,
1,6,8,532,61,11,1.7,320.353,18.441,26780.764,25655.594,,,
1,6,9,653,92,14,1.5,521.476,28.348,43244.984,41609.371,,,
1,6,10,630,133,17,1.5,631.144,35.033,51302.977,49380.809,,,
1,6,11,813,119,18,2.6,802.349,37.733,64538.504,62093.258,,,
1,6,12,618,197,19,2.1,732.027,38.725,58636.148,56432.211,,,
1,6,13,383,216,20,2.1,532.867,34.501,43527.109,41881.875,,,
1,6,14,238,182,18,4.6,351.863,24.815,29960.85,28744.941,,,
1,6,15,0,64,17,1.5,61.492,18.206,5452.092,4838.324,,,
1,6,16,0,0,16,2.1,0,16,0,0,,,
1,6,17,0,0,15,2.1,0,15,0,0,,,
1,6,18,0,0,14,2.1,0,14,0,0,,,
1,6,19,0,0,13,2.1,0,13,0,0,,,
1,6,20,0,0,12,2.1,0,12,0,0,,,
1,6,21,0,0,11,2.1,0,11,0,0,,,
1,6,22,0,0,11,1.5,0,11,0,0,,,
1,6,23,0,0,10,1.5,0,10,0,0,,,
1,7,0,0,0,9,1.7,0,9,0,0,,,
1,7,1,0,0,9,1.9,0,9,0,0,,,
1,7,2,0,0,10,2.1,0,10,0,0,,,
1,7,3,0,0,8,2.2,0,8,0,0,,,
1,7,4,0,0,8,2.4,0,8,0,0,,,
1,7,5,0,0,8,2.6,0,8,0,0,,,
1,7,6,0,0,7,2.2,0,7,0,0,,,
1,7,7,263,15,9,1.9,94.015,9.525,7242.055,6591.871,,,
1,7,8,378,90,11,1.5,281.622,17.596,23901.514,22855.258,,,
1,7,9,40,159,17,3.1,192.641,20.7,16831.963,15966.385,,,
1,7,10,12,182,19,1.5,190.224,23.365,16462.313,15605.672,,,
1,7,11,496,225,20,1.5,664.788,37.672,53551.328,51544.895,,,
1,7,12,176,280,21,5.7,454.087,29.014,38219.57,36750.449,,,
1,7,13,346,213,19,3.1,502.499,30.4,41886.227,40296.555,,,
1,7,14,308,168,18,4.1,387.734,26.006,32778.426,31478.982,,,
1,7,15,95,135,17,3.1,194.31,21.01,16745.205,15881.73,,,
1,7,16,0,0,15,2.1,0,15,0,0,,,
1,7,17,0,0,13,1.5,0,13,0,0,,,
1,7,18,0,0,12,1.5,0,12,0,0,,,
1,7,19,0,0,11,1.5,0,11,0,0,,,
1,7,20,0,0,11,1.5,0,11,0,0,,,
1,7,21,0,0,8,1.5,0,8,0,0,,,
1,7,22,0,0,8,1.8,0,8,0,0,,,
1,7,23,0,0,8,2.1,0,8,0,0,,,
1,8,0,0,0,8,2.5,0,8,0,0,,,
1,8,1,0,0,7,2.8,0,7,0,0,,,
1,8,2,0,0,7,3.1,0,7,0,0,,,
1,8,3,0,0,7,2.6,0,7,0,0,,,
1,8,4,0,0,7,2.6,0,7,0,0,,,
1,8,5,0,0,6,2.6,0,6,0,0,,,
1,8,6,0,0,7,2.6,0,7,0,0,,,
1,8,7,278,14,6,2.6,96.256,6.528,7462.169,6807.425,,,
1,8,8,532,64,10,1.5,323.19,17.83,27103.229,25969.029,,,
1,8,9,406,162,14,1.7,436.956,25.565,36905.512,35478.375,,,
1,8,10,0,149,17,1.9,146.058,20.68,12804.117,12033.172,,,
1,8,11,0,177,19,2.1,174.476,22.351,15177.607,14351.629,,,
1,8,12,18,216,17,2.6,230.748,21.598,20136.674,19188.949,,,
1,8,13,228,250,17,2.1,448.965,27.852,37931.352,36471.492,,,
1,8,14,391,156,18,1.5,434.843,30.335,35960.691,34563.348,,,
1,8,15,232,118,17,2.1,247.51,23.224,20813.965,19848.902,,,
1,8,16,0,0,14,2.1,0,14,0,0,,,
1,8,17,0,0,13,2.1,0,13,0,0,,,
1,8,18,0,0,13,2.1,0,13,0,0,,,
1,8,19,0,0,12,2.1,0,12,0,0,,,
1,8,20,0,0,12,2.1,0,12,0,0,,,
1,8,21,0,0,11,2.1,0,11,0,0,,,
1,8,22,0,0,11,1.8,0,11,0,0,,,
1,8,23,0,0,10,1.5,0,10,0,0,,,
1,9,0,0,0,10.5,2.8,0,10.5,0,0,,,
1,9,1,0,0,11,4.1,0,11,0,0,,,
1,9,2,0,0,10,3.6,0,10,0,0,,,
1,9,3,0,0,10.1,3.4,0,10.1,0,0,,,
1,9,4,0,0,10,3.1,0,10,0,0,,,
1,9,5,0,0,11,2.6,0,11,0,0,,,
1,9,6,0,0,11,2.9,0,11,0,0,,,
1,9,7,278,14,9,3.1,96.032,9.537,7342.547,6690.284,,,
1,9,8,618,51,12,2.1,344.554,19.692,28496.982,27323.311,,,
1,9,9,721,78,14,2.6,547.121,26.93,45634.188,43916.129,,,
1,9,10,777,96,16,2.1,695.064,34.146,56704.109,54576.348,,,
1,9,11,777,128,16,2.6,786.571,35.592,63961.875,61540.773,,,
1,9,12,642,172,16,6.2,729.229,28.426,61435.344,59118.582,,,
1,9,13,777,122,16,4.6,736.849,30.966,61116.469,58812.703,,,
1,9,14,660,121,16,2.1,569.393,31.539,46649.84,44896.09,,,
1,9,15,586,105,16,2.1,404.021,26.766,32876.258,31573.861,,,
1,9,16,0,0,14,1.5,0,14,0,0,,,
1,9,17,0,0,12,2.1,0,12,0,0,,,
1,9,18,0,0,11,2.6,0,11,0,0,,,
1,9,19,0,0,11,2.6,0,11,0,0,,,
1,9,20,0,0,11,2.6,0,11,0,0,,,
1,9,21,0,0,10,2.6,0,10,0,0,,,
1,9,22,0,0,8,2.6,0,8,0,0,,,
1,9,23,0,0,9,2.6,0,9,0,0,,,
1,10,0,0,0,8,2.4,0,8,0,0,,,
1,10,1,0,0,8,2.3,0,8,0,0,,,
1,10,2,0,0,6,2.1,0,6,0,0,,,
1,10,3,0,0,6,2,0,6,0,0,,,
1,10,4,0,0,5.9,1.8,0,5.9,0,0,,,
1,10,5,0,0,6,1.7,0,6,0,0,,,
1,10,6,0,0,6,1.5,0,6,0,0,,,
1,10,7,264,15,8,2.6,93.631,8.48,7228.818,6578.908,,,
1,10,8,490,66,14.6,3.9,306.328,20.087,25466.014,24377.26,,,
1,10,9,618,103,21,5.1,512.494,30.153,42168.535,40569.375,,,
1,10,10,735,104,23,9.8,677.142,31.415,55998.41,53898.129,,,
1,10,11,807,104,24,9.8,780.215,33.891,63970.004,61548.563,,,
1,10,12,739,142,24,9.3,776.052,34.26,63544.098,61140.41,,,
1,10,13,820,98,26,6.7,739.692,38.104,59220.832,56993.57,,,
1,10,14,710,106,22,5.1,586.546,33.264,47629.215,45840.684,,,
1,10,15,598,98,22,2.6,402.429,31.981,31915.529,30641.98,,,
1,10,16,0,0,18,3.1,0,18,0,0,,,
1,10,17,0,0,13,1.5,0,13,0,0,,,
1,10,18,0,0,13,2.1,0,13,0,0,,,
1,10,19,0,0,11,2.6,0,11,0,0,,,
1,10,20,0,0,12,2.6,0,12,0,0,,,
1,10,21,0,0,11,2.6,0,11,0,0,,,
1,10,22,0,0,13,7.7,0,13,0,0,,,
1,10,23,0,0,14,5.6,0,14,0,0,,,
1,11,0,0,0,14,3.6,0,14,0,0,,,
1,11,1,0,0,10,2.1,0,10,0,0,,,
1,11,2,0,0,8,2.1,0,8,0,0,,,
1,11,3,0,0,13,2.6,0,13,0,0,,,
1,11,4,0,0,18,7.7,0,18,0,0,,,
1,11,5,0,0,12,3.6,0,12,0,0,,,
1,11,6,0,0,16,5.1,0,16,0,0,,,
1,11,7,283,15,16,4.1,98.262,16.645,7283.201,6632.166,,,
1,11,8,581,55,20,5.7,334.375,25.046,27029.463,25897.332,,,
1,11,9,744,72,21.9,5.4,552.509,31.549,45057.641,43359.672,,,
1,11,10,818,84,23,5.1,712.783,36.391,57502.688,55343.609,,,
1,11,11,819,102,23.5,4.7,788.618,39.311,62942.605,60563.883,,,
1,11,12,848,104,23.6,4.4,818.083,40.747,64833.992,62376.324,,,
1,11,13,814,98,23,4.1,736.886,38.945,58756.055,56547.348,,,
1,11,14,761,97,23,2.6,610.58,38.347,48335.82,46521.973,,,
1,11,15,582,98,22,2.6,396.481,31.902,31489.047,30228.197,,,
1,11,16,0,0,17,2.6,0,17,0,0,,,
1,11,17,0,0,15,1.5,0,15,0,0,,,
1,11,18,0,0,13,3.1,0,13,0,0,,,
1,11,19,0,0,12,2.1,0,12,0,0,,,
1,11,20,0,0,9,2.6,0,9,0,0,,,
1,11,21,0,0,10,1.5,0,10,0,0,,,
1,11,22,0,0,8,1.5,0,8,0,0,,,
1,11,23,0,0,9,3.1,0,9,0,0,,,
1,12,0,0,0,9,2.1,0,9,0,0,,,
1,12,1,0,0,10,2.1,0,10,0,0,,,
1,12,2,0,0,8,2.1,0,8,0,0,,,
1,12,3,0,0,7,3.1,0,7,0,0,,,
1,12,4,0,0,6,1.5,0,6,0,0,,,
1,12,5,0,0,8,2.1,0,8,0,0,,,
1,12,6,0,0,8,2.1,0,8,0,0,,,
1,12,7,283,15,8,2.1,98.061,8.618,7527.198,6871.103,,,
1,12,8,544,60,12,1.9,323.564,19.346,26910.994,25782.184,,,
1,12,9,670,91,16,1.7,531.503,30.113,43707.758,42056.344,,,
1,12,10,747,107,19,1.5,690.707,38.607,55136.941,53069.949,,,
1,12,11,836,101,21,2.6,802.253,40.788,63557,61152.777,,,
1,12,12,720,148,20,2.6,769.92,39.345,61478.504,59159.98,,,
1,12,13,739,120,21,3.1,710.787,37.865,57012.516,54872.691,,,
1,12,14,671,116,18,3.1,575.803,31.717,47161.625,45389.746,,,
1,12,15,436,114,17,2.6,346.637,25.615,28572.395,27396.566,,,
1,12,16,0,0,17,2.6,0,17,0,0,,,
1,12,17,0,0,13,2.6,0,13,0,0,,,
1,12,18,0,0,12,2.6,0,12,0,0,,,
1,12,19,0,0,10,2.6,0,10,0,0,,,
1,12,20,0,0,9,2.9,0,9,0,0,,,
1,12,21,0,0,8,3.1,0,8,0,0,,,
1,12,22,0,0,8,3.1,0,8,0,0,,,
1,12,23,0,0,6,2.6,0,6,0,0,,,
1,13,0,0,0,6,2.1,0,6,0,0,,,
1,13,1,0,0,6,2.1,0,6,0,0,,,
1,13,2,0,0,4,2.1,0,4,0,0,,,
1,13,3,0,0,4.1,2.1,0,4.1,0,0,,,
1,13,4,0,0,4,2.1,0,4,0,0,,,
1,13,5,0,0,4,2.1,0,4,0,0,,,
1,13,6,0,0,3,2.6,0,3,0,0,,,
1,13,7,266,15,6,2.1,93.57,6.469,7270.478,6619.706,,,
1,13,8,597,54,11,2.1,340.225,18.571,28322.738,27154.041,,,
1,13,9,756,71,14,2.1,559.413,28.101,46385.609,44641.184,,,
1,13,10,794,93,17,2.1,706.909,35.449,57312.102,55160.52,,,
1,13,11,830,103,18,2.6,800.891,37.894,64386.496,61947.625,,,
1,13,12,763,135,18,3.1,791.558,36.835,64003.398,61580.563,,,
1,13,13,807,116,18,2.6,759.088,37.127,61110.07,58806.57,,,
1,13,14,619,135,17,2.6,563.823,31.409,46301.688,44560.215,,,
1,13,15,606,104,17,2.1,416.616,28.062,33751.309,32422.334,,,
1,13,16,0,0,16,2.1,0,16,0,0,,,
1,13,17,0,0,13,2.4,0,13,0,0,,,
1,13,18,0,0,13,2.8,0,13,0,0,,,
1,13,19,0,0,10,3.1,0,10,0,0,,,
1,13,20,0,0,8,1.5,0,8,0,0,,,
1,13,21,0,0,8,1.5,0,8,0,0,,,
1,13,22,0,0,7,1.5,0,7,0,0,,,
1,13,23,0,0,7,1.5,0,7,0,0,,,
1,14,0,0,0,6,3.1,0,6,0,0,,,
1,14,1,0,0,6,3.1,0,6,0,0,,,
1,14,2,0,0,5,2.6,0,5,0,0,,,
1,14,3,0,0,4,2.1,0,4,0,0,,,
1,14,4,0,0,4,2.1,0,4,0,0,,,
1,14,5,0,0,3,2.1,0,3,0,0,,,
1,14,6,0,0,4,2.1,0,4,0,0,,,
1,14,7,33,19,6,2.1,29.468,4.67,2589.895,2031.882,,,
1,14,8,149,109,7,2.1,189.185,10.24,16918.217,16050.547,,,
1,14,9,332,158,11,1.5,386.85,21.057,33411.492,32092.871,,,
1,14,10,518,181,14,1.5,601.56,30.826,49978.137,48104.738,,,
1,14,11,735,142,16,2.3,773.723,35.755,62892.387,60515.742,,,
1,14,12,763,132,16,3.1,789.575,34.787,64497.797,62054.258,,,
1,14,13,764,116,16,4.6,728.305,30.901,60463.406,58186.148,,,
1,14,14,778,95,16,3.6,624.585,30.168,51510.309,49580.445,,,
1,14,15,632,93,14,4.6,420.481,22.345,34957.266,33591.199,,,
1,14,16,0,0,13,2.1,0,13,0,0,,,
1,14,17,0,0,12,1.5,0,12,0,0,,,
1,14,18,0,0,13,1.5,0,13,0,0,,,
1,14,19,0,0,12,2.1,0,12,0,0,,,
1,14,20,0,0,13,1.8,0,13,0,0,,,
1,14,21,0,0,13,1.5,0,13,0,0,,,
1,14,22,0,0,12,2.1,0,12,0,0,,,
1,14,23,0,0,12,2.1,0,12,0,0,,,
1,15,0,0,0,12,2.1,0,12,0,0,,,
1,15,1,0,0,11.5,2.1,0,11.5,0,0,,,
1,15,2,0,0,11,2.1,0,11,0,0,,,
1,15,3,0,0,11,1.9,0,11,0,0,,,
1,15,4,0,0,11,1.7,0,11,0,0,,,
1,15,5,0,0,11,1.5,0,11,0,0,,,
1,15,6,0,0,11,2.6,0,11,0,0,,,
1,15,7,169,17,11,2.1,72.297,10.945,5704.771,5085.935,,,
1,15,8,160,111,13,3.1,196.411,16.215,17087.625,16215.838,,,
1,15,9,160,186,15,4.1,305.654,20.584,26594.016,25474.059,,,
1,15,10,524,187,15,2.1,613.171,30.355,51063.637,49150.324,,,
1,15,11,42,241,17,2.1,288.602,24.882,24797.01,23726.541,,,
1,15,12,36,266,16,2.1,313.042,23.481,27077.809,25944.324,,,
1,15,13,0,87,16,3.6,82.561,17.041,7359.012,6706.407,,,
1,15,14,338,233,16,2.1,487.587,27.397,41052.438,39490.621,,,
1,15,15,0,90,16,2.1,88.484,18.144,7847.578,7184.805,,,
1,15,16,0,0,14,2.1,0,14,0,0,,,
1,15,17,0,0,13,2.1,0,13,0,0,,,
1,15,18,0,0,12,3.1,0,12,0,0,,,
1,15,19,0,0,12,1.5,0,12,0,0,,,
1,15,20,0,0,11,1.5,0,11,0,0,,,
1,15,21,0,0,10,3.1,0,10,0,0,,,
1,15,22,0,0,10,2.3,0,10,0,0,,,
1,15,23,0,0,11,1.5,0,11,0,0,,,
1,16,0,0,0,11,1.5,0,11,0,0,,,
1,16,1,0,0,11,1.5,0,11,0,0,,,
1,16,2,0,0,11,2.1,0,11,0,0,,,
1,16,3,0,0,11,2.1,0,11,0,0,,,
1,16,4,0,0,11,2.1,0,11,0,0,,,
1,16,5,0,0,10,2.1,0,10,0,0,,,
1,16,6,0,0,10,3.1,0,10,0,0,,,
1,16,7,247,17,10,2.6,91.657,10.454,7068.556,6421.954,,,
1,16,8,507,80,11,2.6,328.456,17.799,27652.605,26502.934,,,
1,16,9,315,169,12,1.5,389.348,22.676,33404.996,32086.572,,,
1,16,10,647,140,16,2.1,656.613,32.696,54020.164,51995.922,,,
1,16,11,741,129,16,2.6,766.187,35.007,62513.789,60152.777,,,
1,16,12,732,145,17,4.6,781.879,32.942,64465.457,62023.273,,,
1,16,13,769,114,17,4.1,733.197,32.909,60292.984,58022.617,,,
1,16,14,706,111,17,5.1,599.586,28.461,49923.094,48051.707,,,
1,16,15,642,91,15,5.7,426.703,22.36,35504.98,34121.887,,,
1,16,16,0,0,13,4.1,0,13,0,0,,,
1,16,17,0,0,12,2.1,0,12,0,0,,,
1,16,18,0,0,11,2.6,0,11,0,0,,,
1,16,19,0,0,9,3.1,0,9,0,0,,,
1,16,20,0,0,8,1.5,0,8,0,0,,,
1,16,21,0,0,7,1.5,0,7,0,0,,,
1,16,22,0,0,8,1.5,0,8,0,0,,,
1,16,23,0,0,6,1.5,0,6,0,0,,,
1,17,0,0,0,6,2.1,0,6,0,0,,,
1,17,1,0,0,5,1.5,0,5,0,0,,,
1,17,2,0,0,3,1.5,0,3,0,0,,,
1,17,3,0,0,3,2.1,0,3,0,0,,,
1,17,4,0,0,3,2.6,0,3,0,0,,,
1,17,5,0,0,3,1.5,0,3,0,0,,,
1,17,6,0,0,2,2.3,0,2,0,0,,,
