"PVWatts: Hourly PV Performance Data"
"Requested Location:","thousand oaks california"
"Location:","CAMARILLO (AWOS), CA"
"Lat (deg N):","34.22"
"Long (deg W):","119.08"
"Elev (m):","23"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.118"
"Capacity Factor (%)","18.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","5","1","0","0","15.5","0","0","15.5","0","0"
"7","5","2","0","0","15.5","2","0","15.5","0","0"
"7","5","3","0","0","15.5","0","0","15.5","0","0"
"7","5","4","2","0","15.5","1.5","0","15.5","0","0"
"7","5","5","0","22","16.1","2","20.843","14.711","18.774","13.328"
"7","5","6","0","76","16.6","0","71.816","16.298","64.228","57.894"
"7","5","7","0","140","17.2","2","132.604","19.179","117.051","109.589"
"7","5","8","0","198","18.3","0","188.509","24.87","162.065","153.561"
"7","5","9","0","245","19.4","3","234.368","23.929","202.383","192.88"
"7","5","10","382","442","20.5","3","798.59","38.292","643.054","618.7"
"7","5","11","527","313","22.7","2.5","846.01","43.971","662.042","636.885"
"7","5","12","775","198","22.7","4.1","972.498","43.551","762.666","733.034"
"7","5","13","741","243","22.2","5.1","942.195","40.592","749.791","720.753"
"7","5","14","722","207","21.6","6.1","800.883","35.643","651.533","626.821"
"7","5","15","850","98","21.6","5.1","650.821","34.185","525.966","506.262"
"7","5","16","776","79","20.5","5.1","424.399","28.499","336.08","322.834"
"7","5","17","636","56","19.4","5.1","191.803","22.536","132.324","124.517"
"7","5","18","327","31","17.7","5.1","23.204","17.163","20.671","15.189"
"7","5","19","1","0","16.1","2","0","16.1","0","0"
"7","5","20","0","0","16.1","2","0","16.1","0","0"
"7","5","21","0","0","16.1","2","0","16.1","0","0"
"7","5","22","0","0","16.1","2","0","16.1","0","0"
"7","5","23","0","0","16.1","0","0","16.1","0","0"
"7","6","0","0","0","15.5","2","0","15.5","0","0"
"7","6","1","0","0","15.5","0","0","15.5","0","0"
"7","6","2","0","0","15.5","0","0","15.5","0","0"
"7","6","3","0","0","15.7","0","0","15.7","0","0"
"7","6","4","0","0","16.1","0","0","16.1","0","0"
"7","6","5","44","42","16.1","0","35.777","13.804","32.357","26.654"
"7","6","6","0","66","16.6","2","62.596","16.51","55.929","49.763"
"7","6","7","0","128","17.7","1.5","121.331","19.486","106.949","99.711"
"7","6","8","465","237","19.4","0","534.001","38.543","424.566","408.478"
"7","6","9","283","317","21.1","4.1","544.886","32.502","450.756","433.77"
"7","6","10","742","220","21.6","3.6","918.191","41.622","726.838","698.843"
"7","6","11","793","192","21.6","5.1","983.839","40.695","782.903","752.326"
"7","6","12","327","456","21.6","5.4","786.17","36.524","638.87","614.69"
"7","6","13","464","336","21.1","5.6","776.54","35.241","634.824","610.813"
"7","6","14","581","222","21","5.4","701.638","34.054","575.448","553.841"
"7","6","15","644","194","20.5","5.1","613.404","32.204","502.266","483.441"
"7","6","16","434","182","19.4","5.1","369.171","26.263","302.575","290.329"
"7","6","17","398","90","17.7","5.1","169.627","20.293","127.235","119.544"
"7","6","18","38","51","17.2","4.1","43.774","17.027","39.02","33.188"
"7","6","19","0","0","16.1","2.5","0","16.1","0","0"
"7","6","20","0","0","16.1","0","0","16.1","0","0"
"7","6","21","0","0","16.1","0","0","16.1","0","0"
"7","6","22","0","0","15.5","0","0","15.5","0","0"
"7","6","23","0","0","15.5","0","0","15.5","0","0"
"7","7","0","0","0","15.5","2","0","15.5","0","0"
"7","7","1","0","0","15.5","1.5","0","15.5","0","0"
"7","7","2","0","0","15.5","1.5","0","15.5","0","0"
"7","7","3","0","0","15","0","0","15","0","0"
"7","7","4","0","0","15","0","0","15","0","0"
"7","7","5","6","45","14.7","0","40.201","12.537","36.564","30.78"
"7","7","6","0","51","15","0","48.382","13.764","43.765","37.841"
"7","7","7","0","96","15.5","0","91.182","16.713","81.395","74.706"
"7","7","8","0","164","16.4","0.8","156.115","19.829","137.394","129.47"
"7","7","9","0","204","17.2","1.5","194.944","21.535","170.224","161.522"
"7","7","10","0","231","18.3","4.1","221.508","22.088","192.925","183.661"
"7","7","11","0","246","18.8","4.1","236.49","22.971","205.13","195.557"
"7","7","12","366","278","20","4.6","652.875","32.416","541.373","521.086"
"7","7","13","711","235","20","5.1","907.341","37.229","734.382","706.046"
"7","7","14","201","297","19.6","5.1","460.468","28.688","388.159","373.275"
"7","7","15","79","171","18.8","5.1","218.075","22.494","188.69","179.533"
"7","7","16","0","117","17.2","2.5","111.008","18.933","98.098","91.053"
"7","7","17","0","63","16.1","2","59.808","16.189","53.515","47.397"
"7","7","18","0","20","15.7","1.8","18.941","14.423","17.083","11.669"
"7","7","19","0","0","15.5","1.5","0","15.5","0","0"
"7","7","20","0","0","15","0","0","15","0","0"
"7","7","21","0","0","15.5","1.5","0","15.5","0","0"
"7","7","22","0","0","15","2","0","15","0","0"
"7","7","23","0","0","15","2.5","0","15","0","0"
"7","8","0","0","0","15","0","0","15","0","0"
"7","8","1","0","0","14.4","0","0","14.4","0","0"
"7","8","2","0","0","15","0","0","15","0","0"
"7","8","3","0","0","15","1.5","0","15","0","0"
"7","8","4","1","0","15","0","0","15","0","0"
"7","8","5","0","16","15","0","15.146","11.7","13.827","8.472"
"7","8","6","0","50","15","0","47.431","13.344","42.985","37.076"
"7","8","7","0","95","15.5","1.5","90.237","16.247","80.721","74.046"
"7","8","8","0","136","15.5","3","129.438","17.192","115.295","107.872"
"7","8","9","0","203","16.6","2","193.991","20.447","170.244","161.541"
"7","8","10","106","439","18.3","3.6","529.285","29.165","445.793","428.979"
"7","8","11","816","170","20","3","985.182","42.702","775.986","745.733"
"7","8","12","0","367","21.1","4.1","354.462","29.363","298.309","286.188"
"7","8","13","899","131","21.1","4.1","970.224","41.023","770.349","740.36"
"7","8","14","874","122","21.1","5.1","836.652","37.484","674.118","648.444"
"7","8","15","774","140","19.4","5.6","645.539","31.218","530.124","510.263"
"7","8","16","60","201","18.3","4.1","217.144","22.923","186.609","177.503"
"7","8","17","0","63","17.2","3","59.808","17.56","53.184","47.073"
"7","8","18","0","20","16.1","3","18.942","15.017","17.038","11.624"
"7","8","19","0","0","16.1","2","0","16.1","0","0"
"7","8","20","0","0","16.1","0","0","16.1","0","0"
"7","8","21","0","0","16.1","0","0","16.1","0","0"
"7","8","22","0","0","16.1","0","0","16.1","0","0"
"7","8","23","0","0","15.5","0","0","15.5","0","0"
"7","9","0","0","0","15","1.5","0","15","0","0"
"7","9","1","0","0","15","1.5","0","15","0","0"
"7","9","2","0","0","15","1.5","0","15","0","0"
"7","9","3","0","0","15.5","0","0","15.5","0","0"
"7","9","4","0","0","15.5","0","0","15.5","0","0"
"7","9","5","0","14","15","0","13.248","11.62","12.099","6.777"
"7","9","6","0","53","16.1","0","50.286","14.591","45.319","39.364"
"7","9","7","0","98","16.1","0","93.068","17.465","82.796","76.077"
"7","9","8","0","166","17.2","0","158.03","22.086","137.639","129.71"
"7","9","9","0","205","18.3","2","195.921","22.316","170.459","161.751"
"7","9","10","0","233","19.4","4.1","223.462","23.241","193.586","184.306"
"7","9","11","190","474","20.5","5.6","662.926","31.782","551.416","530.744"
"7","9","12","0","247","20","4.6","237.499","24.74","204.309","194.756"
"7","9","13","0","234","21.1","3.6","224.458","25.259","192.62","183.364"
"7","9","14","471","334","21.1","3.6","721.237","36.22","585.63","563.62"
"7","9","15","697","148","21.1","4.1","604.037","34.114","489.395","471.039"
"7","9","16","244","203","20","4.6","303.49","25.981","252.421","241.594"
"7","9","17","0","66","18.3","3","62.62","18.976","55.327","49.173"
"7","9","18","0","19","18.3","2","17.992","17.113","16.032","10.637"
"7","9","19","0","0","17.2","3","0","17.2","0","0"
"7","9","20","0","0","17.2","2.5","0","17.2","0","0"
"7","9","21","0","0","16.6","2","0","16.6","0","0"
"7","9","22","0","0","16.6","2","0","16.6","0","0"
"7","9","23","0","0","16.1","3","0","16.1","0","0"
"7","10","0","0","0","16.1","1.5","0","16.1","0","0"
"7","10","1","0","0","15.5","3","0","15.5","0","0"
"7","10","2","0","0","15.5","2","0","15.5","0","0"
"7","10","3","0","0","16.1","1.5","0","16.1","0","0"
"7","10","4","0","0","16.1","1.5","0","16.1","0","0"
"7","10","5","0","16","16.1","0","15.146","12.862","13.756","8.403"
"7","10","6","0","49","16.6","0","46.479","14.979","41.816","35.93"
"7","10","7","0","94","17.2","0","89.29","18.353","79.115","72.474"
"7","10","8","0","162","18.3","0","154.222","23.003","133.751","125.911"
"7","10","9","19","339","19.4","2.5","340.574","26.779","290.112","278.228"
"7","10","10","743","186","21.6","3","882.203","41.507","698.743","671.998"
"7","10","11","909","141","22.7","2.5","1041.847","48.718","795.31","764.146"
"7","10","12","910","141","23.3","4.6","1044.386","44.959","813.105","781.088"
"7","10","13","899","136","23.8","6.1","976.075","41.012","775.049","744.841"
"7","10","14","873","126","23.3","4.1","840.731","41.68","663.251","638.043"
"7","10","15","827","111","22.7","5.1","652.04","35.38","524.244","504.605"
"7","10","16","747","90","21.1","4.6","424.119","29.634","335.023","321.809"
"7","10","17","596","63","20","4.6","189.163","23.319","131.752","123.958"
