,W_ac,,
542,3.215254207,,
543,0,,
544,0,,
545,0,,
546,0,,
547,0,,
548,0,,
549,0,,
550,0,,
551,0,,
552,0,,
553,0,,
554,0,,
555,0,,
556,0,,
557,0,,
558,0,,
559,0,,
560,0,,
561,0,,
562,0,,
563,0,,
564,0,,
565,0,,
566,0,,
567,0,,
568,0,,
569,0,,
570,0,,
571,0,,
572,0,,
573,0,,
574,0,,
575,0,,
576,0,,
577,0,,
578,0,,
579,0,,
580,0,,
581,0,,
582,0,,
583,0,,
584,0,,
585,0,,
586,0,,
587,0,,
588,0,,
589,0,,
590,0,,
591,0,,
592,0,,
593,0,,
594,0,,
595,0,,
596,0,,
597,0,,
598,0,,
599,0,,
600,0,,
601,4.571984413,,
602,14.83296631,,
603,33.63346649,,
604,63.97963411,,
605,107.0308379,,
606,155.3174096,,
607,198.8514555,,
608,227.644782,,
609,234.0048753,,
610,220.9768083,,
611,194.7424162,,
612,161.4839147,,
613,128.3613896,,
614,107.1134461,,
615,110.817572,,
616,152.5514206,,
617,239.2068059,,
618,348.6827024,,
619,450.3911497,,
620,513.7431194,,
621,516.3986424,,
622,474.7207795,,
623,416.4134938,,
624,369.182202,,
625,354.6262212,,
626,365.6666041,,
627,386.8124285,,
628,402.5716738,,
629,400.4142148,,
630,381.7353088,,
631,352.0190018,,
632,316.7498835,,
633,280.467929,,
634,243.2674101,,
635,203.9359144,,
636,161.2608531,,
637,114.9688519,,
638,69.21139542,,
639,29.44185034,,
640,0,,
641,0,,
642,0,,
643,0,,
644,0,,
645,3.175677201,,
646,3.424432288,,
647,0,,
648,0,,
649,0,,
650,0,,
651,0,,
652,0,,
653,0,,
654,0,,
655,0,,
656,0,,
657,0,,
658,0,,
659,0,,
660,0,,
661,0,,
662,0,,
663,0,,
664,0,,
665,0,,
666,0,,
667,0,,
668,0,,
669,0,,
670,0,,
671,0,,
672,0,,
673,0,,
674,0,,
675,0,,
676,0,,
677,0,,
678,0,,
679,0,,
680,0,,
681,0,,
682,0,,
683,0,,
684,0,,
685,0,,
686,0,,
687,0,,
688,0,,
689,0,,
690,0,,
691,0,,
692,0,,
693,0,,
694,0,,
695,0,,
696,0,,
697,6.16098059,,
698,18.14659848,,
699,37.50234393,,
700,66.03309778,,
701,104.8443077,,
702,151.6912962,,
703,203.3275311,,
704,256.5062989,,
705,307.1237979,,
706,346.9667234,,
707,366.5915736,,
708,356.5546206,,
709,311.3668311,,
710,244.5204681,,
711,175.1957049,,
712,122.5737776,,
713,101.4986821,,
714,105.9754813,,
715,123.7583195,,
716,142.600154,,
717,153.0479098,,
718,159.0864451,,
719,168.7356067,,
720,190.0160194,,
721,228.3935849,,
722,277.0342306,,
723,325.4068334,,
724,362.9795455,,
725,381.2820622,,
726,381.7798563,,
727,368.9278722,,
728,347.1816491,,
729,320.2050449,,
730,287.8423922,,
731,248.787639,,
732,201.7345004,,
733,146.6484921,,
734,89.63737116,,
735,38.66072845,,
736,0,,
737,0,,
738,0,,
739,0,,
740,0,,
741,4.130072713,,
742,4.481833949,,
743,2.510017783,,
744,0,,
745,0,,
746,0,,
747,0,,
748,0,,
749,0,,
750,0,,
751,0,,
752,0,,
753,0,,
754,0,,
755,0,,
756,0,,
757,0,,
758,0,,
759,0,,
760,0,,
761,0,,
762,0,,
763,0,,
764,0,,
765,0,,
766,0,,
767,0,,
768,0,,
769,0,,
770,0,,
771,0,,
772,0,,
773,0,,
774,0,,
775,0,,
776,0,,
777,0,,
778,0,,
779,0,,
780,0,,
781,0,,
782,0,,
783,0,,
784,0,,
785,0,,
786,0,,
787,0,,
788,0,,
789,0,,
790,0,,
791,0,,
792,0,,
793,4.904638919,,
794,15.57460681,,
795,34.49955197,,
796,64.39754716,,
797,106.9422121,,
798,158.6786746,,
799,214.5805488,,
800,269.6210399,,
801,319.5225042,,
802,363.6896041,,
803,402.656509,,
804,436.9576862,,
805,467.2057541,,
806,494.3978659,,
807,519.6492459,,
808,544.0751504,,
809,568.2512804,,
810,590.0957586,,
811,606.7098701,,
812,615.1946782,,
813,613.7314616,,
814,605.8276133,,
815,596.6292307,,
816,591.2828614,,
817,593.3186276,,
818,598.2884285,,
819,599.2869872,,
820,589.4083414,,
821,563.708209,,
822,526.9346446,,
823,486.8238287,,
824,451.1127862,,
825,425.0675305,,
826,401.7325528,,
827,370.3806567,,
828,320.2835646,,
829,244.487968,,
830,154.7307572,,
831,68.52265887,,
832,3.376077192,,
833,0,,
834,0,,
835,0,,
836,0,,
837,7.29230813,,
838,7.963974098,,
839,4.487420845,,
840,0,,
841,0,,
842,0,,
843,0,,
844,0,,
845,0,,
846,0,,
847,0,,
848,0,,
849,0,,
850,0,,
851,0,,
852,0,,
853,0,,
854,0,,
855,0,,
856,0,,
857,0,,
858,0,,
859,0,,
860,0,,
861,0,,
862,0,,
863,0,,
864,0,,
865,0,,
866,0,,
867,0,,
868,0,,
869,0,,
870,0,,
871,0,,
872,0,,
873,0,,
874,0,,
875,0,,
876,0,,
877,0,,
878,0,,
879,0,,
880,0,,
881,0,,
882,0,,
883,0,,
884,0,,
885,0,,
886,0,,
887,0,,
888,0,,
889,5.871315266,,
890,17.40959435,,
891,35.98678285,,
892,63.29604403,,
893,100.3325886,,
894,144.5781816,,
895,192.4114801,,
896,240.2107468,,
897,284.9306779,,
898,326.4307128,,
899,365.483208,,
900,402.8608509,,
901,439.1502787,,
902,473.9996174,,
903,506.7617346,,
904,536.7893897,,
905,563.4124792,,
906,585.8454519,,
907,603.2663994,,
908,614.8533999,,
909,620.114733,,
910,620.2278077,,
911,616.8962086,,
912,611.8237183,,
913,606.237732,,
914,598.9550641,,
915,588.0318494,,
916,571.5239331,,
917,548.1334516,,
918,519.836255,,
919,489.6422873,,
920,460.5618905,,
921,434.2590188,,
922,405.5705656,,
923,367.1747275,,
924,311.7488591,,
925,234.9535221,,
926,147.5917925,,
927,65.25960552,,
928,3.554788391,,
929,0,,
930,0,,
931,0,,
932,0,,
933,6.83050782,,
934,7.507685805,,
935,4.256008828,,
936,0,,
937,0,,
938,0,,
939,0,,
940,0,,
941,0,,
942,0,,
943,0,,
944,0,,
945,0,,
946,0,,
947,0,,
948,0,,
949,0,,
950,0,,
951,0,,
952,0,,
953,0,,
954,0,,
955,0,,
956,0,,
957,0,,
958,0,,
959,0,,
960,0,,
961,0,,
962,0,,
963,0,,
964,0,,
965,0,,
966,0,,
967,0,,
968,0,,
969,0,,
970,0,,
971,0,,
972,0,,
973,0,,
974,0,,
975,0,,
976,0,,
977,0,,
978,0,,
979,0,,
980,0,,
981,0,,
982,0,,
983,0,,
984,0,,
985,5.372636041,,
986,16.47411086,,
987,35.11154909,,
988,63.41603719,,
989,102.7355101,,
990,150.3760271,,
991,202.3434979,,
992,254.643214,,
993,303.8311868,,
994,349.3086712,,
995,391.393075,,
996,430.4022459,,
997,466.5214088,,
998,499.2498886,,
999,527.865932,,
1000,551.6476778,,
1001,570.1391782,,
1002,584.2611618,,
1003,595.3785346,,
1004,604.8564206,,
1005,613.6833978,,
1006,620.8965714,,
1007,624.9027799,,
1008,624.1085488,,
1009,617.2553065,,
1010,604.8219447,,
1011,587.8490686,,
1012,567.3775655,,
1013,544.3998131,,
1014,519.656259,,
1015,493.8058212,,
1016,467.5073762,,
1017,440.623549,,
1018,408.8774354,,
1019,366.6511422,,
1020,308.3260871,,
1021,230.8492548,,
1022,144.5193128,,
1023,63.96452928,,
1024,3.815420927,,
1025,0,,
1026,0,,
1027,0,,
1028,0,,
