PVWatts: Hourly PV Performance Data,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,
DC System Size (kW):,10,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.118,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,
,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,
1,7,11,496,225,20,1.5,664.788,37.672,5355.133,5154.489,,
1,7,12,176,280,21,5.7,454.087,29.014,3821.957,3675.045,,
1,7,13,346,213,19,3.1,502.499,30.4,4188.623,4029.656,,
1,7,14,308,168,18,4.1,387.734,26.006,3277.843,3147.898,,
1,7,15,95,135,17,3.1,194.31,21.01,1674.521,1588.173,,
1,7,16,0,0,15,2.1,0,15,0,0,,
1,7,17,0,0,13,1.5,0,13,0,0,,
1,7,18,0,0,12,1.5,0,12,0,0,,
1,7,19,0,0,11,1.5,0,11,0,0,,
1,7,20,0,0,11,1.5,0,11,0,0,,
1,7,21,0,0,8,1.5,0,8,0,0,,
1,7,22,0,0,8,1.8,0,8,0,0,,
1,7,23,0,0,8,2.1,0,8,0,0,,
1,8,0,0,0,8,2.5,0,8,0,0,,
1,8,1,0,0,7,2.8,0,7,0,0,,
1,8,2,0,0,7,3.1,0,7,0,0,,
1,8,3,0,0,7,2.6,0,7,0,0,,
1,8,4,0,0,7,2.6,0,7,0,0,,
1,8,5,0,0,6,2.6,0,6,0,0,,
1,8,6,0,0,7,2.6,0,7,0,0,,
1,8,7,278,14,6,2.6,96.256,6.528,746.217,680.742,,
1,8,8,532,64,10,1.5,323.19,17.83,2710.323,2596.903,,
1,8,9,406,162,14,1.7,436.956,25.565,3690.551,3547.838,,
1,8,10,0,149,17,1.9,146.058,20.68,1280.412,1203.317,,
1,8,11,0,177,19,2.1,174.476,22.351,1517.761,1435.163,,
1,8,12,18,216,17,2.6,230.748,21.598,2013.667,1918.895,,
1,8,13,228,250,17,2.1,448.965,27.852,3793.135,3647.149,,
1,8,14,391,156,18,1.5,434.843,30.335,3596.069,3456.334,,
1,8,15,232,118,17,2.1,247.51,23.224,2081.396,1984.89,,
1,8,16,0,0,14,2.1,0,14,0,0,,
